id,content,dined_at,submitted_at,user,rating,images,restaurant_id,response,helpfulness
OT-128943-38108-160080614146,味に関してはご飯が乾燥していて美味しくなかったです。またそのご飯に黒胡麻が多すぎてジャリジャリしていました。内装やサービスは素晴らしい買った。炭焼きの焼き鳥は的確な味だと思います。,2018-08-15T11:30:00Z,2018-08-17T15:28:54Z,"{'name': 'YOICHI', 'number_of_reviews': 2, 'location': 'ロンドン'}","{'overall': 4, 'food': 3, 'service': 4, 'ambience': 4, 'value': 2, 'noise': 'Do Not Recall'}","[{'id': '25748173', 'timestamp': '2018-08-17T15:29:12Z', 'variants': [{'size': 'small', 'url': 'https://resizer.otstatic.com/v4/photos/25748173-0?width=160&height=160'}, {'size': 'medium', 'url': 'https://resizer.otstatic.com/v4/photos/25748173-0?width=320&height=320'}, {'size': 'xlarge', 'url': 'https://resizer.otstatic.com/v4/photos/25748173-0?width=752&height=752'}, {'size': 'wideMedium', 'url': 'https://resizer.otstatic.com/v4/photos/25748173-0?width=320&height=180'}, {'size': 'wideLarge', 'url': 'https://resizer.otstatic.com/v4/photos/25748173-0?width=640&height=360'}]}, {'id': '25748175', 'timestamp': '2018-08-17T15:29:20Z', 'variants': [{'size': 'small', 'url': 'https://resizer.otstatic.com/v4/photos/25748175-0?width=160&height=160'}, {'size': 'medium', 'url': 'https://resizer.otstatic.com/v4/photos/25748175-0?width=320&height=320'}, {'size': 'xlarge', 'url': 'https://resizer.otstatic.com/v4/photos/25748175-0?width=752&height=752'}, {'size': 'wideMedium', 'url': 'https://resizer.otstatic.com/v4/photos/25748175-0?width=320&height=180'}, {'size': 'wideLarge', 'url': 'https://resizer.otstatic.com/v4/photos/25748175-0?width=640&height=360'}]}, {'id': '25748176', 'timestamp': '2018-08-17T15:29:30Z', 'variants': [{'size': 'small', 'url': 'https://resizer.otstatic.com/v4/photos/25748176-0?width=160&height=160'}, {'size': 'medium', 'url': 'https://resizer.otstatic.com/v4/photos/25748176-0?width=320&height=320'}, {'size': 'xlarge', 'url': 'https://resizer.otstatic.com/v4/photos/25748176-0?width=752&height=752'}, {'size': 'wideMedium', 'url': 'https://resizer.otstatic.com/v4/photos/25748176-0?width=320&height=180'}, {'size': 'wideLarge', 'url': 'https://resizer.otstatic.com/v4/photos/25748176-0?width=640&height=360'}]}]",r/sticksnsushi-potsdamer-berlin,,
OT-350100-50258-390086046109,"tolle raffinierte Gerichte, toller Service und gutes Preis/Leistungsverhältnis",2026-05-09T17:30:00Z,2026-05-11T15:40:56Z,"{'name': 'Marcus', 'number_of_reviews': 3, 'location': 'ノルトライン＝ヴェストファーレ'}","{'overall': 5, 'food': 5, 'service': 5, 'ambience': 5, 'value': 4, 'noise': 'Energetic'}",,r/sticksnsushi-potsdamer-berlin,"{'content': 'Vielen Dank für Ihr schönes Feedback. Es ist toll zu hören, dass Ihnen unsere  Gerichte und der Service  so gut gefallen haben. Wir freuen uns darauf, Sie bald wieder bei uns begrüßen zu dürfen und Sie weiter kulinarisch zu verwöhnen! Mit freundlichen Grußen, Melissa', 'date': '2026-05-11T18:26:07Z'}",
OT-350100-50019-380058082468,Ein schöner Abend mit lieben Freunden an einem der besten Tische im Restaurant,2026-05-04T17:00:00Z,2026-05-05T22:07:00Z,"{'name': 'Gerd', 'number_of_reviews': 4, 'location': 'ベルリン'}","{'overall': 4, 'food': 5, 'service': 3, 'ambience': 4, 'value': 3, 'noise': 'Energetic'}",,r/sticksnsushi-potsdamer-berlin,"{'content': 'Lieber Gerd,\n\nvielen Dank für die lieben Worte! Es freut uns sehr, dass Sie einen schönen Abend mit Ihren Freunden bei uns verbringen konnten und sich an einem unserer besten Tische wohlgefühlt haben.\n\nMit freundlichen Grüßen\nIhr Sticks’n’Sushi Team', 'date': '2026-05-06T15:07:42Z'}",
OT-350100-50085-150051028935,"Outstanding food, lovely and always excellent service. The sushi , sticks are well prepared , selected and delicious. The presentation of the selections is outstanding. The whole ambience of the restaurant is brilliant.",2026-05-03T18:30:00Z,2026-05-04T11:14:35Z,"{'name': 'Pierre', 'number_of_reviews': 11, 'location': 'ベルリン'}","{'overall': 5, 'food': 5, 'service': 5, 'ambience': 5, 'value': 5, 'noise': 'Do Not Recall'}",,r/sticksnsushi-potsdamer-berlin,"{'content': ""Lovely Pierre,\nThank you very much for this wonderful feedback about Sticks'n'Sushi!\n\nWe’re delighted to hear that you enjoyed our sushi and sticks, as well as the service and overall ambience. Your kind words about the presentation mean a lot to us, as we put great care into every detail.\n\nWe truly appreciate your support and look forward to welcoming you back again soon! 🍣✨"", 'date': '2026-05-04T19:24:43Z'}",
OT-350100-49921-170027724967,Unfortunately we didn’t get to dine there on 1 may as we showed up right when they closed and cleared out the restaurant due to a person entering the restaurant and spraying in the air an unknown substance. The ambulance and police were there when we arrived. I did check in with the host when we arrived and they said they would cancel my reservation. I have been to sticks and sushi before and do like it. It was unfortunate that I was not able to dine there that evening.,2026-05-01T20:00:00Z,2026-05-14T12:41:15Z,"{'name': 'Michael', 'number_of_reviews': 1, 'location': 'サンフランシスコ・ベイ周辺'}","{'overall': 5, 'food': 4, 'service': 4, 'ambience': 4, 'value': 4, 'noise': 'Do Not Recall'}",,r/sticksnsushi-potsdamer-berlin,,
OT-350100-49312-330079588423,"Tolle Speisen, großartige Qualität, sehr charmanter Service",2026-04-29T18:00:00Z,2026-04-30T09:25:43Z,"{'number_of_reviews': 1, 'location': 'バイエルン州'}","{'overall': 5, 'food': 5, 'service': 5, 'ambience': 4, 'value': 5, 'noise': 'Moderate'}",,r/sticksnsushi-potsdamer-berlin,"{'content': 'Liebe/r Anonymous,\n\nvielen Dank für Ihre wunderbaren Worte! Es freut uns sehr, dass Ihnen unsere Speisen, die Qualität und unser Service so gut gefallen haben. Wir hoffen, Sie bald wieder bei uns begrüßen zu dürfen!\n\nMit freundlichen Grüßen\ndein Sticks’n’Sushi Team', 'date': '2026-04-30T11:09:09Z'}",
OT-350100-49576-350088194455,Sehr lecker ! Muß man auf jeden Fall probiert haben .,2026-04-28T11:00:00Z,2026-05-07T04:56:27Z,"{'name': 'Nicole', 'number_of_reviews': 1, 'location': 'ベルリン'}","{'overall': 5, 'food': 5, 'service': 5, 'ambience': 5, 'value': 4, 'noise': 'Do Not Recall'}",,r/sticksnsushi-potsdamer-berlin,"{'content': 'Liebe Nicole,\n\nvielen Dank für deine tolle Bewertung! Es freut uns sehr, dass es dir so gut geschmeckt hat. Schön, dass du uns weiterempfiehlst, wir freuen uns schon auf deinen nächsten Besuch!\n\nKind Regards 🍣\nSticks’n’Sushi Team', 'date': '2026-05-07T13:34:47Z'}",
OT-350100-48316-370074830797,"If you‘re following a very stricht health-related nutrion plan, Sticks ‘n Sushi is the place where you can eat dishes according to plan. Next to service, the quality of food and its Ingredients  are top and excellent. Value for money. Every time it’s worth for coming back.",2026-04-11T17:15:00Z,2026-04-12T12:10:53Z,"{'name': 'Helen', 'number_of_reviews': 1, 'location': 'ベルリン'}","{'overall': 5, 'food': 5, 'service': 5, 'ambience': 5, 'value': 5, 'noise': 'Moderate'}","[{'id': '93027193', 'timestamp': '2026-04-12T12:10:09Z', 'variants': [{'size': 'small', 'url': 'https://resizer.otstatic.com/v4/photos/93027193-1?width=160&height=160'}, {'size': 'medium', 'url': 'https://resizer.otstatic.com/v4/photos/93027193-1?width=320&height=320'}, {'size': 'xlarge', 'url': 'https://resizer.otstatic.com/v4/photos/93027193-1?width=752&height=752'}, {'size': 'wideMedium', 'url': 'https://resizer.otstatic.com/v4/photos/93027193-1?width=320&height=180'}, {'size': 'wideLarge', 'url': 'https://resizer.otstatic.com/v4/photos/93027193-1?width=640&height=360'}]}]",r/sticksnsushi-potsdamer-berlin,"{'content': 'Dear Helen,\nThank you so much for your kind and thoughtful words—it truly means a lot to us! We’re especially happy to hear that you feel comfortable dining with us even while following a strict nutrition plan. Knowing that you appreciate the quality of our ingredients, the care in our dishes, and the service we provide really makes our day.\n\nIt’s always a pleasure to have you with us, and we’re already looking forward to welcoming you back again very soon. Thank you for your continued support!', 'date': '2026-04-17T13:32:25Z'}",
OT-350100-45027-300061343750,"Wir waren etwa 10 mal in diesem Restaurant und bisher immer begeistert. Diesmal kam die Ernüchterung. Das Essen war wie immer gut aber die Bedienung war leider eine absolute Katastrophe und hat das Erlebnis sehr eingetrübt. Krass unfreundlich, barsch, überfordert, extrem begriffsstutzig, unflexibel… Und wenn man schon nur englisch spricht, dann sollte man sich bei der Aussprache etwas Mühe geben und langsamer sprechen. Die Frau war kaum zu verstehen, und ich habe 10 Jahre in den USA gelebt. Warum versteht die nicht, daß jeder Gast ein Wasserglas braucht? Warum bringt sie nicht jedem Gast eine Servierte wenn man danach fragt und nur eine einzige für 9 Personen? Wieso kann die kaum einen Weinkorken ziehen? Wieso bekommen wir nicht wie die anderen Gäste im Lokal ein Oshibori vor dem Essen? Ich könnte noch viel mehr schreiben. Das geht in dieser Preiskategorie überhaupt nicht! Sehr schade, denn mir ist dieser Laden bisher immer durch die exzellente Bedienung aufgefallen.",2026-04-05T17:30:00Z,2026-04-06T10:44:13Z,"{'name': 'Dominique', 'number_of_reviews': 3, 'location': 'ベルリン'}","{'overall': 2, 'food': 4, 'service': 1, 'ambience': 3, 'value': 2, 'noise': 'Do Not Recall'}",,r/sticksnsushi-potsdamer-berlin,"{'content': 'Lieber Dominique,\nvielen Dank, dass Sie sich die Zeit genommen haben, uns Ihr Feedback mitzuteilen.\nEs freut uns sehr, dass Sie uns so oft besucht haben und bislang immer zufrieden waren. Gleichzeitig möchten wir uns ausdrücklich für die von Ihnen geschilderte Serviceerfahrung entschuldigen. Die beschriebenen Punkte – vom Umgangston über die Aufmerksamkeit bis hin zur Kommunikation – entsprechen nicht dem Niveau.Wir legen großen Wert darauf, unser Team regelmäßig zu schulen – sowohl im Hinblick auf einen aufmerksamen, professionellen Service als auch auf die korrekte Präsentation unserer Speisen und aller begleitenden Details. \nSeien Sie versichert, dass wir Ihr Feedback sehr ernst nehmen und intern gezielt aufarbeiten werden.\nMit freundlichen Grüßen\nIhr Sticks’n’Sushi Team', 'date': '2026-04-09T15:03:02Z'}",
OT-350100-47563-380061059258,"Tolle Auswahl an unterschiedlichen Variationen, top Qualität",2026-04-03T17:15:00Z,2026-04-05T10:08:47Z,"{'name': 'Steffen', 'number_of_reviews': 2, 'location': 'シュトゥットガルト'}","{'overall': 5, 'food': 5, 'service': 4, 'ambience': 4, 'value': 4, 'noise': 'Do Not Recall'}","[{'id': '92723600', 'timestamp': '2026-04-05T10:08:50Z', 'variants': [{'size': 'small', 'url': 'https://resizer.otstatic.com/v4/photos/92723600-1?width=160&height=160'}, {'size': 'medium', 'url': 'https://resizer.otstatic.com/v4/photos/92723600-1?width=320&height=320'}, {'size': 'xlarge', 'url': 'https://resizer.otstatic.com/v4/photos/92723600-1?width=752&height=752'}, {'size': 'wideMedium', 'url': 'https://resizer.otstatic.com/v4/photos/92723600-1?width=320&height=180'}, {'size': 'wideLarge', 'url': 'https://resizer.otstatic.com/v4/photos/92723600-1?width=640&height=360'}]}]",r/sticksnsushi-potsdamer-berlin,"{'content': 'Lieber Steffen,\n\nganz lieben Dank für dein schönes Feedback! Es freut uns sehr, dass dir unsere Auswahl und die Qualität so gut gefallen haben – genau das ist unser Anspruch. Wir hoffen, dich ganz bald wieder bei uns begrüßen zu dürfen!\n\nMit freundlichen Grüßen\ndein Sticks’n’Sushi Team', 'date': '2026-04-05T11:35:05Z'}",
